"ID","Author","DOI","Title","Generic","Species","Common name","Habitat","HabitatII","Pelagic Larval Duration (days)","PLD reference","Conservation status","Fishery resource","World region","Biogeographic region","Country","Technical","enzimes","Number Samples","Outlier detection method","SNPs","Neutral loci","Outlier loci","Neutral","Adaptive","Environmental association","Main environemntal driver adaptive","Environmental data","Environmental Database","gene-environment software","Anotation associated markers","Notes","Genome data access","Environment data access","Collection latitude lower","Collection latitude higher","Current","Sampling coordinates","Coordinate path","Include"
43,"Xu S., Yanagimoto T., Song N., Cai S., Gao T., Zhang X.","10.1098/rsob190028","Population genomics reveals possible genetic evidence for parallel evolution of sebastiscus marmoratus in the northwestern pacific ocean","Fish","Sebastiscus marmoratus","marbled rockfish","Demersal","Rock","10","10.1098/rsob190028",NA,"No","North West Pacific","20; 29","China; Japan","GBS","NlaIII; MseI",130,"Lositan; Bayescan",17635,17332,"180","Metapopulation",NA,NA,NA,NA,NA,NA,NA,"In the present study, structuring analyses demonstrated genetic similarity in two locations , in which populations span geographical distances of approximately 2000 km and latitudinal distances of approximately 10°. However, we failed to detect such genetic similarity in locatiosn which are geographically closer","https://figshare.com/articles/dataset/The_SNP_matrix_of_ten_populations_of_Sebastiscus_marmoratus/8138219",NA,21.5,37.95,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\rsob190028",NA
44,"Mullins R.B., McKeown N.J., Sauer W.H.H., Shaw P.W., Grant W.S.","10.1093/icesjms/fsy102","Genomic analysis reveals multiple mismatches between biological and management units in yellowfin tuna (Thunnus albacares)","Fish","Thunnus albacares","Yellowfin tuna","Pelagic","Water column",NA,NA,"Least concern (IUCN)","Yes","South Africa","27; 23","South Africa; Mozambique; Ghana","GBS",NA,93,"Lositan; Bayescan",11101,11090,"11","IBD",NA,NA,NA,NA,NA,NA,NA,"When outlier loci were excluded, the pattern of significant dif ferentiation of Ghana sample from all other (non-differentiated) samples was still evident in FST values and PCA clustering . Analysis of the 11 outlier loci reported considerably higher levels of differentiation of this sample while retaining the pattern of homogeneity among the remaining samples. The spatial genetic structure reported here is compatible with a role for the cool upwelled waters of the BCS as a potential barrier to dispersal of Atlantic yellowfin tuna into SAF waters.",NA,NA,NA,NA,NA,NA,NA,NA
45,"Al-Breiki R.D., Kjeldsen S.R., Afzal H., Al Hinai M.S., Zenger K.R., Jerry D.R., Al-Abri M.A., Delghandi M.","10.1186/s12864-018-5044-8","Genome-wide SNP analyses reveal high gene flow and signatures of local adaptation among the scalloped spiny lobster (Panulirus homarus) along the Omani coastline","Crustacean","Panulirus homarus","Scalloped spiny lobster","Benthic","Rock","136 - 197","10.1186/s12864-018-5044-8","Least concern (IUCN)","Yes","Persian/Arabian Gulf","13","Oman","DArT-seq","PtsI; HpaII",164,"Bayescan; Arlequin",7988,7484,"504","Metapopulation","Metapopulation",NA,NA,NA,NA,NA,NA,"The utilization of the whole dataset of SNPs could not capture the low levels of genetic structure, while analyses based on FST outliers allowed detection of selective divergence and identification of possible discrete stock.",NA,NA,16.69,21.84,NA,NA,NA,NA
46,"Nielsen E.S., Henriques R., Toonen R.J., Knapp I.S.S., Guo B., von der Heyden S.","10.1186/s12864-018-4721-y(1)","Complex signatures of genomic variation of two non-model marine species in a homogeneous environment","Echinoderm","Scutellastra granularis","Cape urchin","Benthic","Rock","50","10.1186/s12864-018-4721-y",NA,"No","South Africa","27","South Africa","pooled EZRAD","Kapa Hyper Prep kit",240,"Bayescan; PCADAT",8386,8378,"8","Metapopulation","Metapopulation",NA,NA,NA,NA,NA,NA,"No IBD for the neutral and outlier loci. However, Fst from neutral and outlier loci whowed significatn differenciation of one northern population compared to all the others, even with geographically closed locations. Besides, based on the number of private alleles, it is possible that environmental pressuers are preventing SNP from spreading from northern populations. Results from this study contradicts previous studies with mtDNA","https://geome-db.org/record/ark:/21547/Aqx2",NA,-33.19,-29.2,"South Africa","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\s12864-018-4721-y",NA
47,"Nielsen E.S., Henriques R., Toonen R.J., Knapp I.S.S., Guo B., von der Heyden S.","10.1186/s12864-018-4721-y(2)","Complex signatures of genomic variation of two non-model marine species in a homogeneous environment","Gastropod","Parechinus angulosis","Granular limpet","Benthic","Rock","5 - 15","10.1186/s12864-018-4721-y",NA,"No","South Africa","27","South Africa","pooled EZRAD","Kapa Hyper Prep kit",240,"Bayescan; PCADAT",55409,55375,"34","Metapopulation","Metapopulation",NA,NA,NA,NA,NA,NA,"No IBD for the neutral and outlier loci. However, Fst from neutral and outlier loci whowed significatn differenciation of one northern population compared to all the others, even with geographically closed locations. Besides, based on the number of private alleles, it is possible that environmental pressuers are preventing SNP from spreading from northern populations. Results from this study contradicts previous studies with mtDNA","https://geome-db.org/record/ark:/21547/Aqx2",NA,-33.19,-29.2,"South Africa","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\s12864-018-4721-y",NA
48,"Van Wyngaarden M., Snelgrove P.V.R., DiBacco C., Hamilton L.C., Rodríguez-Ezpeleta N., Zhan L., Beiko R.G., Bradbury I.R.","10.1002/ece3.3846","Oceanographic variation influences spatial genomic structure in the sea scallop, Placopecten magellanicus","Bivalve","Placopecten magellanicu","Scallop","Benthic","Sand","40","10.1002/ece3.3846",NA,"Yes","North West Atlantic","11","US; Canada","RAD-seq","SbfI",245,"Basyescan; LFMM",7163,6542,"621",NA,"IBE","Yes","Minimum sea surface temperature; Deep average winter temperature","Annual mean sea surface temperature; Annual mean sea surface salinity; Annual mean Water density  (sigma-t); Annual mean Mean Chlorophyll a; Annual mean SiO4; Annual mean NO3; Annual mean PO4; Spring  sea surface temperature; Spring  sea surface salinity; Spring  Water density (sigma-t); Spring  Chlorophyll a; Spring  SiO4; Spring  NO3; Spring  PO4; summer  sea surface temperature; summer  sea surface salinity; Summer  Water density  (sigma-t); Summer Chlorophyll a; Summer  SiO4; Summer  NO3; Summer PO4; Autum  sea surface temperature; Autum  sea surface salinity; Autum  Water density (sigma-t); Autum Chlorophyll a; Autum  SiO4; Autum  NO3; Autum  PO4; Winter sea surface temperature; Winter  sea surface salinity; Winter  Water density  (sigma-t); Winter  Chlorophyll a; Winter SiO4; Winter NO3; Winter PO4; Max sea surface temperature; Max sea surface salinity; Max Water density (sigma-t); Max Chlorophyll a; Max SiO4; Max NO3; Max PO4; Min sea surface temperature; Min sea surface salinity; Min Water density (sigma-t); Min Chlorophyll a; Min SiO4; Min NO3; Min PO4","Fisheries and Oceans Canada; Climate; BioChem; NOAA","RDA","Metabolic process; transferace activity; foic acid binding; oxidoreductase activity; oxidation-reduction process; carbohydrate binding; calcium ion binding;","Oceanogrpahic data over multiple years were aveared to remove the signatures of short-term variation in the marine environment; We averaged data from all data sources within a bounding box
of one square degree around each sample site to create site- specific averages for each data type used in the analysis; PCA of all individuals and sets of outlier loci detected using AllEnv and CST both split north and south populations along the first PC, separat- ing the populations into two clusters","https://datadryad.org/stash/dataset/doi:10.5061/dryad.c15v5",NA,38.82,47.82,"Labrador","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates",NA
49,"Van Wyngaarden, Mallory","10.1111/eva.12432","Identifying patterns of dispersal, connectivity and selection in the sea scallop, Placopecten magellanicus, using RADseq-derived SNPs","Bivalve","Placopecten magellanicu","Scallop","Benthic","Sand","40","10.1002/ece3.3847",NA,"Yes","North West Atlantic","12","US; Canada","RAD-seq","SbfI",245,"Basyescan; Arlequin",7163,7051,"112","IBD","IBD",NA,NA,NA,NA,NA,NA,"discontinuity between northern and southern samples, and latitudinal clines in allele frequencies were observed in 42.9% of the outlier loci and in 24.6% of neutral loc","https://datadryad.org/stash/dataset/doi:10.5061/dryad.2nh23",NA,38.82,47.82,"Labrador","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates",NA
50,"Diopere E., Vandamme S.G., Hablützel P.I., Cariani A., Van Houdt J., Rijnsdorp A., Tinti F., Volckaert F.A.M., Maes G.E.","10.1093/icesjms/fsx160","Seascape genetics of a flatfish reveals local selection under high levels of gene flow","Fish","Solea solea","Sole","Benthic","Sand","20 - 46","10.1371/journal.pone.0086585","Data defcient (IUCN)","Yes","North East Atlantic","3","UK; France; Spani; Portugal;Netherlands; Denmark; Norway; Sweeden","transcriptome derived",NA,650,"Lositan; Bayescan",426,407,"19","IBD","IBD; IBE","yes","temperature in winter","Sea surface temperature in winter; Sea surface temperature spring; Sea surface temperature summer; Sea surface temperature autumn; Sea bottom temperature in winter; Sea bottom temperature spring; Sea bottom temperature summer; Sea bottom temperature autumn; Bottom salinity winter; Bottom salinity summer; Mixed layer depth winter; Mixed layer depth summer; Annual mean chlorophyll a; Mean surface productive layer","Environmental Marine Information System (EMIS)","RDA; LFMM","Cytokeratyn 13; Histidine-rich calcium binding protein; Valosin-containing protein; Troponin C skeletal muscle; Gelsolin; Synaptic glycoprotein 2","The set of neutral SNP markers revealed two levels of structure. The North Sea–Baltic Sea transition zone is clearly distinguished from other north eastern Atlantic samples. At a more subtle level the North Sea, English Channel, Irish Sea, and Celtic Sea are distinguished from a southern unit of the Bya of Biscay and Portuguese waters. However, a subset of 19 outlier SNPs sourced from an extensive set of gene-linked markers revealed a fourth population of sole inhabiting the Irish and Celtic Sea, first suggested by Cuveliers et al. (2012) unit. Also, the seascape analysis pointed to an important contribution by the environment, which suggests local adaptation among sole populations","https://www.ncbi.nlm.nih.gov/search/all/?term=ss1026565497",NA,38.35,57.78,"Norwegan","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates",NA
51,"Zhao Y., Peng W., Guo H., Chen B., Zhou Z., Xu J., Zhang D., Xu P.","10.1007/s10126-017-9786-0","Population Genomics Reveals Genetic Divergence and Adaptive Differentiation of Chinese Sea Bass (Lateolabrax maculatus)","Fish","Lateolabrax maculatus","Chinese sea bass","Demersal","Rock",NA,NA,NA,"Yes","North West Pacific","29","China","ddRAD-seq","EcorI; MspI",240,"Bayescan",10285,9759,"526","IBD","IBD","Yes","Mean suea surface temperature","mean sea surface temperature","NOAA SST","Bayenv",NA,"eographically distant populations in the Bohai Gulf and the Beibu Gulf retain significant genetic divergence, which are connected by a series of intermediate populations in between","https://www.ncbi.nlm.nih.gov/search/all/?term=PRJNA356786","https://www.ospo.noaa.gov/Products/ocean/sst.html",21.4,38.91,"Kuroshio","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates",NA
52,"Guo B., DeFaveri J., Sotelo G., Nair A., Merilä J.","10.1186/s12915-015-0130-8","Population genomic evidence for adaptive differentiation in Baltic Sea three-spined sticklebacks","Fish","Gasterosteus aculeatus","Three-spined stickleback","Demersal","Rock",NA,NA,"Least concern (IUCN)","No","Baltic","1","Sweeden","RAD-seq","PstI",360,"Bayescan; Popoolation",9404,9310,"94","IBD",NA,"Yes","Mean annual temperature; Mean annual salinity","Mean annual temperature; Mean annual salinity",NA,"Bayenv","Cytoplsamic polyadenylation element binding protein 4; Peroxisome proliferator-acivated receptor alpha a; Centrein, centrosomal protein","genetic differentiation associated with both salinity and temperature gradients, and many candidate genes associated with local adaptation in the Baltic Sea were identified",NA,NA,53.87056,64.47833,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates",NA
53,"Bradbury, Ian R.","10.1098/rspb.2010.0985","Parallel adaptive evolution of Atlantic cod on both sides of the Atlantic Ocean in response to temperature","Fish","Gadhus morhua","Atlantic cod","Demersal","Water column",NA,NA,"Vulnerable (IUCN)","Yes","North Atlantic","18","Canada; Greenland; Iceland; Sweeden; Ireland","ETS library",NA,300,"Bayescan; Arlequin",1641,NA,"70",NA,"IBD;IBE","Yes","Annual mean bottom temperatue","Annual mean bottom temperature",NA,"Mantel test",NA,"Average bottom temperature was not associated with latitude directly and allele frequency remained strongly associated with temperature even after the geographical effect was removed either by analysing the residuals of the IBD relationship or by using partial Mantel tests. Using the residuals of the IBD relationship, the association with temperature remained significant. These SNPs map to three linkage groups and several were successfully annotated consistent with a hypothesis of multiple independent genes.",NA,NA,46.57,70.45,"Labrador;Barent","No",NA,NA
54,"Jeffery, Nicholas W.","10.1002/ece3.2872","RAD sequencing reveals genomewide divergence between independent invasions of the European green crab ( Carcinus maenas ) in the Northwest Atlantic","Crustacean","Carcinus maenas","European green crab","Benthic","Sand","28 - 63","10.1093/plankt/18.11.1981",NA,"Yes","North West Atlantic","11","Canada","RAD-seq",NA,242,"Bayescan; Arlequin",9137,8326,"108","IBD","IBD",NA,NA,NA,NA,NA,NA,"We observed a strong evidence of two genetically and geographically distinct populations of green crab spatially segregated in eastern North America corresponding to two indeendent invasion. The genetic differ- ences observed here are so distinctive that they warrant the division of green crab into two separate ecotypes in the northwest Atlantic, yet the precise latitudinal boundary between ecotypes has yet to be determined and may be transient","https://datadryad.org/stash/dataset/doi:10.5061/dryad.619t0",NA,39.58,48.49,"Labrador","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.2872",NA
55,"Lamichhaney, Sangeet","10.1073/pnas.1617728114","Parallel adaptive evolution of geographically distant herring populations on both sides of the North Atlantic Ocean","Fish","Clupea harengus","Atlantic herring","Pelagic","Water column",NA,NA,"Least concern (IUCN)","Yes","North Atlantic; Baltic","18","Canada; Iceland; Norway; Sweden; Finland",NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.26,65.86,"Baltic; Labrador; Norwgian","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\pnas.1617728114",NA
56,"Mejía-Ruíz, Paulina","10.7717/peerj.9722","Population genomics reveals a mismatch between management and biological units in green abalone ( Haliotis fulgens )","Gastropod","Haliotis fulgens","green abalone","Benthic","Rock","4 - 15","10.7717/peerj.9722",NA,"Yes","East Pacific","12","Mexico","ddRAD-seq","EcoRI-HF; MspI",185,"Bayescan; Arlequin",2216,2171,"45","IBD",NA,NA,NA,NA,NA,NA,NA,"There is restricted gene flow among green abalones between the northern and southern regions and high levels of gene flow among the central and southern localities rather than a step-stone-structure",NA,NA,NA,NA,"California current","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\fsab098","yes"
57,"Alberto Mares-Mayagoitia, Jorge","10.1093/icesjms/fsab098","Neutral and adaptive population structure of pink abalone ( Haliotis corrugata ): fishery management implications","Gastropod","Haliotis corrugata","pink abalone","Benthic","Rock","4 - 15",NA,NA,"Yes","East Pacific","12","Mexico","ddRAD-seq","EcoRI-HF; MspI",192,"Bayescan; Arlequin;PCADAPT",1739,1733,"6","IBD","IBD","yes","Anual range sea surface temperature","Geographic distance; Annual Mean sea surface temperature; Annual maximum sea surface temperature; Annual minimum sea surface temperature; Anual range sea surface temperature; Annual Mean sea surface chlorophyll a; Annual maximum sea surface  chlorophyll a; Annual minimum sea surface  chlorophyll a; Anual range sea surface  chlorophyll a","AquaModis satellite","RDA",NA,"The two genetic clusters with putative outlier loci were further sup- ported by RDA analysis, where the population structure was corre- latedwith the sea surface temperature range. This genetic break occurs between NI and CI, a transitional climate and biogeo- graphical zone known as the PE break",NA,"https://coastwatch.pfeg.noaa.gov/e rddap/griddap/",NA,NA,"California current","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\peerj.9723","yes"
58,"Lopez-Marquez, V; Cushman, SA; Templado, J; Wan, HY; Bothwell, HM; Machordom, A","10.1111/mec.16080","Genetic connectivity of two marine gastropods in the Mediterranean Sea: seascape genetics reveals species-specific oceanographic drivers of gene flow","Gastropod","Gibbula divaricata","Divaricate gibbula","Benthic","Rock",NA,NA,NA,"No","Mediterranean","5",NA,"Microsatellite",NA,935,NA,NA,NA,NA,"IBD; IBE",NA,"yes","Salinity",NA,NA,"LME",NA,"Salinity gradients emerged as the most well- supported hypothesis driving genetic differentiation for both species. For G. divaricata, the next best supported hypothesis was sea temperature combined with sea surface currents. differences in larval development (plank- tonic vs. entirely encapsulated) or other life history traits can lead to substantially different patterns of genetic structure, even when the same abiotic factors modulate that structure. Neutral loci identified a smooth latitudinal gradient with divi-
sion around 28◦N(FST, DAPC, STRUCTURE, AMOVA). Putative outlier loci mirrored the same pattern but with a more pronounced differentiation (FST, DAPC, STRUCTURE,AMOVA, RDA). There-",NA,NA,37.73,43.76,"Mediterranean","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.16080",NA
59,"Lopez-Marquez, V; Cushman, SA; Templado, J; Wan, HY; Bothwell, HM; Machordom, A","10.1111/mec.16080","Genetic connectivity of two marine gastropods in the Mediterranean Sea: seascape genetics reveals species-specific oceanographic drivers of gene flow","Gastropod","Dendropoma lebeche","vermetid","Benthic","Rock",NA,NA,"Protected (Barcelona Convention)","No","Mediterranean","5",NA,"Microsatellite",NA,935,NA,NA,NA,NA,"IBD; IBE",NA,"yes","salinity",NA,NA,"LME",NA,"Salinity gradients emerged as the most well- supported hypothesis driving genetic differentiation for both species. For G. divaricata, the next best supported hypothesis was sea temperature combined with sea surface currents. differences in larval development (plank- tonic vs. entirely encapsulated) or other life history traits can lead to substantially different patterns of genetic structure, even when the same abiotic factors modulate that structure",NA,NA,33.7,40.35,"Mediterranean","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.16080",NA
60,"Miller, AD; Hoffmann, AA; Tan, MH; Young, M; Ahrens, C; Cocomazzo, M; Rattray, A; Ierodiaconou, DA; Treml, E; Sherman, CDH","10.1111/mec.15128","Local and regional scale habitat heterogeneity contribute to genetic adaptation in a commercially important marine mollusc (Haliotis rubra) from southeastern Australia","Gastropod","Haliotis rubra","Black lip abalone","Benthic","Rock","3 - 7","10.1016/0022-0981(88)90171-2",NA,"Yes","South West Pacific","26","Australia","GBS","MseI; SbfI",725,NA,5239,NA,NA,"Panmixia",NA,"Yes","Summer sea surface temperature","Wave power; Orbital velocity; Sea surface temperature; Geology","Integrated Marine Observing System","LFMM; Baypass; RDA","Protein binding; Calcium ion binding; Selenium binding; iron ion binding; oxidoreductase activity; cation transport; oxidation-reduction process; oxidoreductase activity, acting on CH-OH group of donor; ATP binding; ATPase activity; couple to transmembrae movement of substances","A significant IBD was found, but this disapear once the eastern zone is removed. Despite the lack of genetic structuring, a significant association with environemnt was found for many loci","https://datadryad.org/stash/dataset/doi:10.5061/dryad.kb401ch","https://datadryad.org/stash/dataset/doi:10.5061/dryad.kb401ch",-39.08,-37.8,"Antartic circumpolar","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.2110",NA
61,"Araneda, C; Larrain, MA; Hecht, B; Narum, S","10.1002/ece3.2110","Adaptive genetic variation distinguishes Chilean blue mussels (Mytilus chilensis) from different marine environments","Bivalve","Mytilus chilensis","Chilean blue mussel","Benthic","Rock","20 - 40","10.7773/cm.v38i3.2081",NA,"Yes","South East Pacific","24","Chile","RAD-seq","SbfI",190,"Lostian",1240,981,"58","IBD","IDB",NA,NA,NA,NA,NA,NA,"When only the putatively neutral loci were used, a single cluster was identified. However, whe inlcuding the outlier loci, more than one cluster was detected. IBD was detected for neutral and outlier loci, but whis was not significant after removing the most austral population (isla Peel). Overall, there is a strng genetic differentiation between thhe patagonian location and northern location",NA,NA,-50.53,-41.53,"Peru","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.16371",NA
62,"Jahnke M., Moknes P.-O., Le Moan A., Martens G.A., Jonsson P.R.","10.1111/mec.16371","Seascape genomics identify adaptive barriers correlated to tidal amplitude in the shore crab Carcinus maenas","Crustacean","Carcinus maenas","Shore crab","Benthic","Sand","36 - 56","https://www.int-res.com/articles/meps/24/m024p297.pdf",NA,"No","North East Atlantic","3","France; Netherlands; Germany; Denmark; Sweden","2b-RAD-seq","BcgI",240,"Bayescan",24273,24145,"128","IBD","IBE","Yes","Tidal cycles","Tidal cycles (macrotidal, mesotidal, microtidal)","www.tide- forec ast.com","PCA","tim; cyc; clk; cry2; per","Genetic clustering was observed with the 0.8% outlier loci. A significant effect of oceanographic distance and genetic distance was observed and matches with tide dispersal. Overall, our seascape genomic study suggests that tidal regime acts as a strong selection force on shore crab population structure, consistent with larval behaviour affecting dispersal and recruitment success","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA797386","www.tide- forec ast.com",51.04,58.24,"North Atlantic drift","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.15130","yes"
63,"Boulanger E., Benestan L., Guerin P.-E., Dalongeville A., Mouillot D., Manel S.","10.1111/1365-2656.13623","Climate differently influences the genomic patterns of two sympatric marine fish species","Fish","Diplodus sargus","White seabream","Demersal","Rock","20 - 35","10.1111/1365-2656.13623","Least concern (IUCN)","Yes","Mediterranean","5",NA,"GBS","ApekI; PstI",297,"PCADAPT",8206,7655,"413","Panmixia","IBE","Yes","Sea surface chlorophyll a; Summer sea surface temperature; Winter sea surface temperature","Monthly mean sea surface salinity; Monthly mean sea surface temerature; Monthly mean chlorophyll a","Bio- ORACLE","dbRDA","Zin finger MYND domain-containing protein 10; Pumilio homoog","With neutral loci, two clusters were detected with weak differentiation. Using outlier lo there was a stronger differenciation","https://datadryad.org/stash/dataset/doi:10.5061/dryad.ffbg79cvs",NA,32.2,42.25,"Mediterranean","No",NA,"yes"
64,"Boulanger E., Benestan L., Guerin P.-E., Dalongeville A., Mouillot D., Manel S.","10.1111/1365-2656.13624","Climate differently influences the genomic patterns of two sympatric marine fish species","Fish","Mullus surmuletus","Red mullet","Demersal","Sand","20 - 35","10.1111/1365-2656.13623","Least concern (IUCN)","Yes","Mediterranean","5",NA,"GBS","ApekI; BfaI",526,"PCADAPT",2749,2462,"291","Panmixia","IBE","Yes","Sea surface salinity; Summer sea surface temperature; Winter sea surface temperature",NA,"Bio- ORACLE","dbRDA","Tubulin-specific chaperone D; argnine methyltransferase","Using outlier loci increased resulting and different clusters were detected","https://datadryad.org/stash/dataset/doi:10.5061/dryad.ffbg79cvs",NA,32.2,42.25,"Mediterranean","No",NA,"yes"
65,"Plough, LV","10.2983/035.036.0128","POPULATION GENOMIC ANALYSIS OF THE BLUE CRAB CALLINECTES SAPIDUS USING GENOTYPING-BY-SEQUENCING","Crustacean","Callinectes sapidus","Blue crab","Benthic","Sand","30 - 60","10.2983/035.036.0128",NA,"Yes","West Atlantic","11;21","US; Brazil","RAD-seq","NsiI",28,"LOO",9684,9442,"242","IBD","IBD",NA,NA,NA,NA,NA,NA,"Genetic differentiation between both US populations and Brazil population","https://datadryad.org/stash/dataset/doi:10.5061/dryad.c3318",NA,-30.29,41.98,"Gulf Stream; Brazil","Yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\035.036.0128",NA
66,"Berg P.R., Jentoft S., Star B., Ring K.H., Knutsen H., Lien S., Jakobsen K.S., André C.","10.1093/gbe/evv093","Adaptation to low salinity promotes genomic divergence in Atlantic Cod (Gadus morhua L.)","Fish","Gadus morhua","Atlantic cod","Pelagic","Water column",NA,NA,"Vulnerable (IUCN)","Yes","Baltic","1","Sweden",NA,NA,194,"Bayescan; Lositan;Pairwise Bayescan",8809,6913,"233","IBE","IBE","yes","Mean bottom salinity; Mean bottom oxygen concentration","Mean surface salinity; Mean surface temperature; Mean surface oxygen concentration; Mean bottom salinity; Mean bottom temperature; Mean bottom oxygen concentration","ICES; Helcon","Bayenv","TSHB; FBLN2; COL2A1; ZFAND2A; TMEM235; SSTR3; PRL; PDGFA8; LITAF; DCHS""; MGAT5; ZP2L1; TLR18; RNF128; FBXW4; KCNJ5; ESR1; ATP1A1; ATP1B1","The highest number of private alleles in North Sea; 326 SNPs were canditate for divergent selection or associated with an environmental variable; Baltic population is divergent relative to the others; Demographic process alone is not the main drivers for the differentiation; most of the outlier SNPs clusterinextendedgenomic regionsinhighLD","https://www.ncbi.nlm.nih.gov/snp/","https://www.ices.dk/Pages/default.aspx",55.6,57.4,"Baltic","Yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\evv093","yes"
67,"Gonçalves Da Silva A., Appleyard S.A., Upston J.","10.1111/mec.13046","Establishing the evolutionary compatibility of potential sources of colonizers for overfished stocks: A population genomics approach","Fish","Hoplostethus atlanticus","Orange roughy","Demersal","Deep water",NA,NA,NA,"Yes","South West Pacific","26","Tasmania",NA,NA,616,"Bayescan; Lositan",4723,4723,"0","Panmixia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.2,-41.7,"East Australia","No",NA,"no"
68,"Pocwierz-Kotus A., Kijewska A., Petereit C., Bernas R., Wi<U+0229>caszek B., Arnyasi M., Lien S., Kent M.P., Wenne R.","10.1016/j.margen.2014.05.010","Genetic differentiation of brackish water populations of cod Gadus morhua in the southern Baltic, inferred from genotyping using SNP-arrays","Fish","Gadus morhua","Atlantic cod","Pelagic","Water column",NA,NA,"Vulnerable (IUCN)","Yes","Baltic","1",NA,"DNA array",NA,95,"Arlequin",7944,7653,"291","IBD",NA,NA,NA,NA,NA,NA,NA,"Kiel population was dirrent than the others similarly as the study by Berg; The salinity gradient is probably one of the most important factors maintaining population structure",NA,NA,54.48,55.07,"Baltic","Yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\j.margen.2014.05.010","yes"
69,"Pujolar J.M., Jacobsen M.W., Als T.D., Frydenberg J., Munch K., Jõnsson B., Jian J.B., Cheng L., Maes G.E., Bernatchez L., Hansen M.M.","10.1111/mec.12753","Genome-wide single-generation signatures of local selection in the panmictic European eel","Fish","Anguilla anguilla","European eel","Demersal","Water column","80 - 276","10.1111/j.1365-2419.2009.00517.x","Critically endangered (IUCN)","Yes","North East Atlantic","3","Spain; Ireland; Iceland; Sweden; France; Morocco","RAD-seq","EcorI",259,"Bayescan; Lositan",50354,49684,"670","Panmixia","Panmixia","Yes","Sea surface temperature","Degrees north latitude; Degrees east/west longitude; sea surface temperature mean 10 days; Sea surface temperature mean 30 days; Sea surface temperature mean 3 months","International Research Institute for Climate and Society","Bayenv","Phosphatase and tensin homolog B; WD repeat domain 51B, like; Period circadian protein homolog 2","While there is evidence of association between some loci and environent, there is no evcidence of local adaptation or genetic structuring. Therefore, this could be a one generation selection",NA,"http:// iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NCDC/. OISST",34.433,54.766,"North Atlantic Drift","Yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.12753","no"
